Genre,Oyun_Sayisi,Yuzde
Indie,81463,71.80140318713862
Casual,50705,44.69133408546044
Action,46423,40.917183754054435
Adventure,45551,40.14860386405302
Simulation,24317,21.432978423353546
Strategy,22596,19.91609081934847
RPG,21148,18.639825130447047
Free To Play,12155,10.71340431532929
Early Access,10862,9.57375546467353
Sports,4850,4.274784938654633
Racing,4092,3.6066845296855163
Massively Multiplayer,2480,2.1858694119306166
Education,31,0.027323367649132704
Utilities,29,0.02556056973628543
Game Development,26,0.022916372867014524
Design & Illustration,20,0.01762797912847271
Animation & Modeling,16,0.01410238330277817
Software Training,12,0.010576787477083627
Audio Production,10,0.008813989564236355
Video Production,6,0.005288393738541813
Accounting,5,0.0044069947821181775
Web Publishing,3,0.0026441968692709067
Free to Play,2,0.0017627979128472713
Movie,2,0.0017627979128472713
Photo Editing,2,0.0017627979128472713
Documentary,1,0.0008813989564236356
Episodic,1,0.0008813989564236356
Short,1,0.0008813989564236356
Tutorial,1,0.0008813989564236356
360 Video,1,0.0008813989564236356
