primary_genre,Free,Cheap,Low,Mid,Premium,Luxury
Action,27115153793,47353180,2154548644,8133604043,8404397264,10186287965
Indie,1074447030,841671690,5982185146,12266764954,3556100950,31894442
Simulation,632886627,9543740,233410682,1511616556,1375203434,847906305
RPG,423992695,7263836,135799775,780875822,1307113221,1292641051
Strategy,367098473,36134866,201096079,893619647,626140593,630211797
Casual,959211924,99376914,274512846,543912343,488836028,301813186
Adventure,242880020,5685239,203967440,776794495,475633300,917274164
Sports,4321,6835525,5329667,28399865,35644426,56377273
Other,0,2394247,5130419,121598584,6748,0
Racing,5792362,1217199,12169495,29189279,15308710,24050854
Early Access,0,169231,2353721,24235596,0,1214
Free To Play,3154911,6,0,0,0,0
Massively Multiplayer,0,3056,1032305,1250346,0,0
