primary_genre,oyun_sayisi,ort_revenue,median_revenue,toplam_revenue,ort_wishlist,ort_review_score,ort_price
Action,8995,6230277.36,1434.0,56041344889,68609.84,69.9,11.46
Indie,81463,291581.01,622.0,23753064212,14699.19,73.22,7.01
Simulation,2962,1556572.36,3912.0,4610567344,33461.39,67.25,13.62
RPG,1380,2860642.32,1621.0,3947686400,49271.24,71.09,11.89
Strategy,2096,1314075.12,2737.5,2754301455,23941.49,70.84,10.44
Casual,11827,225557.05,447.0,2667663241,8910.49,69.25,7.92
Adventure,3886,674790.18,1785.5,2622234658,27371.88,74.28,10.88
Sports,193,687000.4,1279.0,132591077,15001.78,62.36,14.55
Other,85,1519176.45,134.0,129129998,24736.8,59.26,5.99
Racing,240,365532.91,775.5,87727899,14841.6,64.17,10.07
Early Access,83,322406.77,1306.0,26759762,28871.18,66.42,10.14
Free To Play,235,13425.18,0.0,3154917,2525.02,78.49,0.03
Massively Multiplayer,11,207791.55,251.0,2285707,31932.0,56.91,9.35
