kmeans_cluster,oyun_sayisi,ort_revenue,median_revenue,toplam_revenue,ort_wishlists,ort_copies,ort_followers,ort_review_score,ort_review_count,ort_price,pazar_payi,kumulatif_pay
6,4580,19724679.03,2875901.5,90339029942,335264.93,1373029.99,65641.36,83.09,29543.6,27.69,93.34616588613865,93.34616588613865
0,11643,494050.46,135570.0,5752229450,40986.52,138452.35,6184.94,80.99,1824.52,11.07,5.9437052268500885,99.28987111298873
5,18161,19780.03,10059.0,359225199,6042.48,5989.26,699.85,75.26,135.16,6.94,0.3711828103297519,99.66105392331849
9,4323,63582.53,15057.0,274867290,9328.23,3352.98,890.64,73.2,103.48,39.0,0.28401686032588963,99.94507078364438
8,21958,1783.61,1144.0,39164548,1704.02,543.13,127.28,84.53,22.21,6.09,0.04046822726357364,99.98553901090796
7,11601,678.14,271.0,7867144,1205.96,222.34,85.88,38.18,11.55,5.35,0.00812901942101463,99.99366803032898
2,16907,175.37,91.0,2964999,516.24,82.96,26.33,93.5,5.18,4.23,0.0030636955996088235,99.99673172592858
1,3305,874.2,32.0,2889240,553.61,116.96,25.59,91.32,4.5,5.49,0.0029854147924548366,99.99971714072103
3,8087,31.98,5.0,258596,510.86,6.15,40.9,0.67,0.39,7.35,0.0002672039441755101,99.99998434466521
4,12891,1.18,0.0,15151,2067.13,18583.31,516.39,78.37,192.72,0.0,1.5655334801014534e-05,100.00000000000001
